DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
11-Jul-25,EQ,999.8,"1,010.90",985.2,995.8,994.5,995.2,998.14,"2,091.00",758,1850757,"1,84,73,11,771.10",44264
10-Jul-25,EQ,999.7,"1,007.90",992.3,995.2,997.6,995.8,999.44,"2,091.00",758,1057492,"1,05,69,02,384.00",28212
09-Jul-25,EQ,997.1,"1,011.00",993.2,992,995.8,995.2,"1,000.53","2,091.00",758,1480019,"1,48,08,00,232.20",38635
08-Jul-25,EQ,991.8,"1,005.00",981.3,991.1,993,992,992.62,"2,091.00",758,1069668,"1,06,17,73,759.30",31884
07-Jul-25,EQ,997,998.8,988.7,996.8,991.9,991.1,992.79,"2,091.00",758,863077,"85,68,56,636.90",27855
04-Jul-25,EQ,"1,012.00","1,012.00",990,"1,008.50",998.1,996.8,999.75,"2,091.00",758,1565915,"1,56,55,30,379.60",40880
03-Jul-25,EQ,"1,023.00","1,023.70","1,005.00","1,019.00","1,007.30","1,008.50","1,012.23","2,091.00",758,1234996,"1,25,00,94,226.60",33126
02-Jul-25,EQ,"1,020.00","1,031.40","1,012.10","1,015.70","1,019.00","1,019.00","1,020.48","2,091.00",758,1307248,"1,33,40,24,937.70",31509
01-Jul-25,EQ,"1,030.00","1,038.00","1,007.20","1,025.60","1,017.60","1,015.70","1,021.24","2,091.00",758,1836549,"1,87,55,52,252.70",43079
30-Jun-25,EQ,"1,020.00","1,034.50","1,015.10","1,015.60","1,025.90","1,025.60","1,024.92","2,091.00",758,2020543,"2,07,08,88,667.20",44542
27-Jun-25,EQ,994.4,"1,046.90",993,992,"1,020.00","1,015.60","1,025.68","2,091.00",758,6044564,"6,19,97,76,825.20",119138
26-Jun-25,EQ,984,993.5,976.1,981.1,991,992,985.54,"2,091.00",758,2254782,"2,22,21,86,234.90",50216
25-Jun-25,EQ,987,997,979.5,987.3,982.9,981.1,986.61,"2,091.00",758,2294587,"2,26,38,65,993.80",52309
24-Jun-25,EQ,975,"1,001.90",974,960.5,987.9,987.3,989.98,"2,091.00",758,3498494,"3,46,34,26,188.50",72938
23-Jun-25,EQ,939.8,964.9,935,947.7,962,960.5,954.64,"2,091.00",758,1728394,"1,64,99,95,931.80",38583
20-Jun-25,EQ,938,959.4,936,934,951,947.7,947.5,"2,091.00",758,3308667,"3,13,49,72,691.10",51471
19-Jun-25,EQ,970,973.4,929,968.9,933,934,945.17,"2,091.00",758,2415130,"2,28,27,20,269.50",64924
18-Jun-25,EQ,977.5,985.6,963.2,977.5,969.3,968.9,971.84,"2,091.00",758,1632269,"1,58,63,04,256.10",34931
17-Jun-25,EQ,992.8,997.5,975,992,977.5,977.5,985.79,"2,091.00",758,1281462,"1,26,32,50,537.40",39592
16-Jun-25,EQ,989.5,997,968.6,989.5,993.5,992,985.97,"2,091.00",758,1898670,"1,87,20,25,063.80",46673
13-Jun-25,EQ,996,"1,002.90",985.3,"1,015.80",994,989.5,993.24,"2,091.00",758,2435259,"2,41,87,87,001.70",59325
12-Jun-25,EQ,"1,050.00","1,050.00","1,012.00","1,046.80","1,014.00","1,015.80","1,029.48","2,091.00",758,2183895,"2,24,82,72,204.70",58782
